src	trg	w
628	31	17
1396	31	15
761	31	9
119	31	2
1515	31	15
563	31	13
74	31	16
2384	31	12
1015	31	19
496	31	6
1555	31	14
105	31	8
224	31	14
598	31	19
1709	31	20
1471	31	17
2416	31	20
638	31	3
1358	31	4
469	31	12
1986	31	11
596	31	11
1323	31	9
111	31	15
1666	31	18
1615	31	8
109	31	10
326	31	13
177	31	12
147	31	16
1183	32	11
101	33	1
24	34	3
19	34	3
96	34	2
2086	34	4
204	34	14
2	34	4
26	34	10
84	34	20
306	34	2
391	34	7
58	34	19
934	35	14
2384	35	7
891	35	16
1203	36	12
492	36	20
50	36	20
147	36	8
306	36	6
2958	37	5
1247	37	2
296	37	12
96	38	13
2498	41	16
212	42	3
3061	42	15
19	42	13
79	42	18
173	42	1
391	42	3
50	42	4
306	42	2
77	42	19
84	42	2
96	42	9
16	42	7
306	43	1
3956	48	11
1986	48	13
326	48	7
176	48	2
2769	49	7
1127	49	11
627	49	17
1526	49	16
272	49	20
1522	49	1
521	49	9
3774	50	1
173	50	14
1471	50	5
2384	50	6
3061	50	16
2069	50	8
1739	50	15
496	50	17
1919	50	17
102	50	5
1984	50	10
2214	50	13
77	50	16
272	50	16
334	50	15
42	50	5
538	50	15
1522	50	13
772	50	1
1127	50	10
472	50	10
518	50	7
350	50	12
230	50	15
1199	50	4
1398	50	4
59	50	10
19	50	5
877	50	9
1577	50	7
436	50	4
582	50	19
516	50	17
228	50	7
127	50	15
1047	50	20
84	50	8
96	50	6
105	50	19
36	50	11
755	50	13
79	50	14
212	50	11
306	50	18
777	50	11
147	50	6
317	50	11
14	50	14
139	50	11
176	50	2
411	52	16
2396	52	6
1238	52	10
1971	53	20
1471	53	17
892	53	9
2006	53	19
384	53	18
306	53	18
102	53	12
375	53	16
139	53	18
1047	53	6
2214	53	5
326	53	18
30	53	5
1522	53	12
507	53	11
147	53	20
272	53	15
1739	53	4
96	53	5
4	53	9
208	53	4
14	53	11
3574	54	18
204	54	1
139	54	16
330	54	7
799	54	16
79	54	12
224	54	6
1734	54	12
516	54	5
176	54	17
173	54	13
228	54	11
212	54	16
1560	54	3
1047	54	9
326	54	8
84	54	2
77	54	1
317	54	8
598	54	16
306	54	5
96	54	4
7	54	17
14	54	20
87	54	5
3057	57	11
296	57	11
375	57	7
105	57	6
228	57	1
50	57	4
79	57	7
272	57	16
436	57	13
1047	57	18
84	57	10
212	57	8
15	57	10
19	57	19
777	57	5
21	57	5
306	57	6
317	57	13
176	57	3
391	57	3
147	57	1
58	57	18
66	57	9
14	57	11
77	57	20
2122	58	6
2856	58	18
147	58	4
436	58	1
173	58	9
139	58	2
2	58	13
306	58	20
7	58	9
96	58	1
77	58	19
34	58	8
66	58	9
57	58	13
14	58	8
7	59	19
77	59	11
50	59	10
147	59	13
877	59	19
14	59	1
139	61	2
1100	61	19
452	61	12
900	61	14
67	61	13
145	62	2
214	62	1
96	63	2
296	63	10
212	63	2
147	63	15
14	63	19
213	65	6
78	66	6
772	66	19
110	66	13
72	66	12
877	66	16
212	66	20
339	66	13
19	66	9
507	66	3
147	66	20
777	66	1
156	66	8
104	66	5
1	66	19
176	66	4
42	66	15
2	66	15
139	66	11
306	66	2
3	66	18
58	66	6
115	66	15
130	66	20
57	66	2
96	66	5
87	66	5
106	66	15
14	66	13
77	66	8
16	66	1
306	70	8
436	71	18
147	71	12
306	71	17
224	72	16
305	73	20
303	73	18
2904	73	9
244	73	14
1652	73	11
1515	74	11
2416	74	4
998	74	15
1676	74	5
3391	74	13
638	74	13
92	74	7
31	74	13
325	75	3
1160	76	3
3975	76	12
1988	76	19
3983	77	18
1173	77	18
2006	77	6
1648	77	5
3956	77	16
1037	77	16
3579	77	15
410	77	15
1287	77	14
291	77	20
1085	77	4
2729	77	19
748	77	4
3051	77	14
2600	77	1
2189	77	9
530	77	16
2481	77	7
556	77	8
202	77	11
1415	77	13
2759	77	3
3061	77	3
2322	77	12
1465	77	17
568	77	9
1630	77	14
243	77	9
224	77	4
1666	77	8
57	77	19
2689	77	2
1462	77	12
1522	77	16
2457	77	9
1992	77	9
1971	77	19
765	77	20
2396	77	18
1603	77	15
1539	77	5
2178	77	1
330	77	14
492	77	15
2094	77	1
461	77	20
1566	77	12
2069	77	7
658	77	17
173	77	6
931	77	2
230	77	1
220	77	19
1919	77	6
2214	77	1
496	77	10
772	77	14
1307	77	20
50	77	15
154	77	11
1106	77	5
1889	77	17
1535	77	15
30	77	10
131	77	7
2034	77	7
1707	77	19
1560	77	20
1739	77	15
296	77	6
384	77	3
514	77	15
1127	77	9
104	77	16
326	77	14
625	77	17
127	77	3
1199	77	13
1734	77	13
87	77	13
407	77	4
1162	77	19
548	77	2
272	77	13
719	77	19
375	77	15
228	77	9
1398	77	16
59	77	15
877	77	1
436	77	14
755	77	8
466	77	15
507	77	13
84	77	4
79	77	9
212	77	16
204	77	16
777	77	16
19	77	13
119	77	10
582	77	19
350	77	12
518	77	14
1047	77	6
521	77	5
139	77	4
176	77	16
391	77	12
306	77	2
317	77	9
147	77	10
58	77	12
96	77	7
14	77	18
25	77	15
66	78	13
2375	78	17
126	78	16
155	78	5
2958	79	19
180	79	5
3574	79	11
363	79	7
1398	79	9
3774	79	17
410	79	6
3579	79	17
514	79	12
1971	79	1
228	79	16
530	79	19
2034	79	8
892	79	11
1307	79	12
2011	79	13
3061	79	7
11	79	1
1707	79	17
801	79	15
1471	79	19
1895	79	6
518	79	16
1407	79	5
2178	79	16
582	79	3
1952	79	20
492	79	1
2069	79	5
436	79	1
330	79	15
384	79	9
461	79	16
1092	79	7
1739	79	10
472	79	7
176	79	19
1892	79	18
334	79	2
2214	79	8
1919	79	3
772	79	5
30	79	9
263	79	13
192	79	15
830	79	7
57	79	1
507	79	4
127	79	13
496	79	9
375	79	18
1048	79	10
777	79	20
1047	79	11
331	79	11
173	79	2
1136	79	1
326	79	5
1659	79	7
42	79	10
224	79	10
877	79	10
1199	79	12
203	79	18
272	79	20
21	79	14
212	79	4
105	79	10
84	79	7
1287	79	2
239	79	15
19	79	6
350	79	19
50	79	20
96	79	16
77	79	9
317	79	15
204	79	1
139	79	13
14	79	14
2	79	15
102	79	2
306	79	8
391	79	4
147	79	3
474	81	4
2549	82	20
1501	82	13
238	83	19
178	83	2
40	83	12
194	84	2
3057	84	17
947	84	4
1398	84	14
11	84	18
3774	84	8
1192	84	12
515	84	2
556	84	1
2440	84	17
173	84	10
204	84	10
892	84	9
1429	84	9
2011	84	19
171	84	13
1407	84	1
2396	84	10
2069	84	18
1889	84	5
781	84	15
330	84	2
176	84	14
496	84	14
34	84	9
1919	84	17
1307	84	5
139	84	3
1560	84	3
180	84	11
2214	84	20
1535	84	11
772	84	9
2006	84	17
507	84	12
272	84	12
1739	84	6
375	84	12
395	84	9
59	84	8
1522	84	6
518	84	7
1092	84	1
19	84	5
57	84	17
224	84	6
105	84	19
14	84	10
203	84	8
79	84	9
391	84	7
1287	84	18
1047	84	12
777	84	7
436	84	11
16	84	3
102	84	14
54	84	6
50	84	14
77	84	11
21	84	12
212	84	15
96	84	14
306	84	7
24	84	14
42	84	5
1824	85	7
1465	87	9
3061	87	17
436	87	2
2214	87	11
2034	87	11
224	87	16
79	87	19
272	87	4
1560	87	3
77	87	12
239	87	14
173	87	5
306	87	6
96	87	6
326	87	6
14	87	1
54	87	4
463	88	16
657	88	1
362	92	13
410	92	15
2187	92	15
145	92	7
496	92	16
563	92	5
192	92	5
98	92	13
220	93	15
1326	93	20
147	93	4
63	93	8
306	93	20
104	93	13
15	93	13
12	93	5
2037	94	5
30	94	10
2340	94	13
102	95	7
2662	96	18
2958	96	8
3057	96	8
407	96	1
363	96	5
1729	96	7
2542	96	2
3574	96	6
3956	96	10
466	96	1
3774	96	11
3579	96	13
410	96	17
514	96	6
2052	96	12
1354	96	8
2667	96	10
34	96	7
1307	96	10
530	96	18
2032	96	20
557	96	11
1030	96	15
1465	96	7
1371	96	12
3061	96	1
1645	96	15
2984	96	11
892	96	15
243	96	3
2127	96	17
1560	96	6
249	96	8
1173	96	1
2815	96	14
1342	96	3
1407	96	4
2689	96	17
1175	96	4
1772	96	6
154	96	12
469	96	7
2457	96	12
582	96	4
1476	96	16
2135	96	16
63	96	1
11	96	6
2396	96	5
736	96	11
537	96	20
192	96	20
1471	96	16
2189	96	13
2384	96	19
1496	96	7
38	96	19
2069	96	1
456	96	10
492	96	14
330	96	10
488	96	12
2304	96	15
285	96	11
2214	96	16
1919	96	5
1535	96	3
658	96	20
1952	96	15
263	96	12
1734	96	1
838	96	7
2006	96	11
627	96	6
375	96	18
496	96	7
30	96	5
832	96	9
1526	96	7
1739	96	17
1537	96	12
1521	96	17
2	96	8
36	96	4
127	96	12
442	96	16
461	96	12
53	96	6
877	96	19
87	96	20
224	96	14
1522	96	1
799	96	20
384	96	1
131	96	6
272	96	16
522	96	18
1199	96	2
772	96	2
173	96	9
1092	96	9
1555	96	17
1390	96	16
1398	96	13
204	96	16
1162	96	16
203	96	9
230	96	16
931	96	10
54	96	10
1287	96	4
105	96	10
50	96	13
79	96	5
472	96	1
507	96	20
516	96	10
781	96	9
1247	96	16
212	96	5
84	96	3
326	96	12
21	96	7
19	96	5
104	96	8
777	96	20
228	96	11
436	96	12
518	96	18
1047	96	8
102	96	5
350	96	12
139	96	2
317	96	14
306	96	8
147	96	3
755	96	10
176	96	16
391	96	13
7	96	15
42	96	14
58	96	4
77	96	13
57	96	14
14	96	14
66	96	15
130	96	19
16	96	2
437	97	10
147	97	20
14	97	17
410	98	12
62	98	3
841	98	1
362	98	9
306	98	11
507	98	14
145	98	9
330	98	4
496	98	16
139	98	4
13	98	5
105	98	15
2034	98	10
563	98	10
92	98	8
1555	98	12
239	98	13
548	98	15
192	98	20
1017	101	18
330	101	2
516	101	10
33	101	7
2304	102	15
2087	102	12
1734	102	17
1920	102	1
1776	102	3
2006	102	14
3057	102	15
3956	102	19
3578	102	5
1729	102	1
359	102	15
3774	102	12
1895	102	10
1462	102	17
410	102	13
514	102	14
3061	102	11
3579	102	10
1971	102	15
556	102	15
2262	102	7
2689	102	18
3574	102	5
1615	102	18
530	102	7
694	102	11
628	102	6
892	102	10
1173	102	3
2032	102	14
2086	102	4
2187	102	11
1398	102	8
627	102	14
131	102	17
1407	102	8
1522	102	20
9	102	19
196	102	1
11	102	15
469	102	9
2543	102	15
2178	102	6
154	102	19
1892	102	5
2069	102	17
180	102	9
203	102	4
1471	102	9
391	102	2
1247	102	19
461	102	18
1465	102	20
384	102	2
330	102	15
326	102	10
2214	102	2
1535	102	20
1919	102	7
496	102	1
1307	102	9
603	102	20
830	102	11
204	102	11
1415	102	4
263	102	5
2034	102	1
507	102	15
1739	102	14
53	102	3
224	102	10
24	102	10
87	102	9
375	102	14
1827	102	2
1092	102	20
395	102	12
442	102	1
1287	102	9
48	102	2
548	102	19
173	102	8
192	102	11
272	102	5
877	102	18
239	102	1
772	102	17
95	102	19
1199	102	15
1555	102	9
1047	102	13
36	102	19
212	102	2
755	102	1
228	102	11
84	102	3
104	102	14
516	102	14
127	102	15
50	102	5
19	102	12
21	102	13
777	102	19
119	102	12
105	102	20
518	102	1
350	102	1
96	102	10
139	102	12
58	102	5
79	102	6
77	102	3
306	102	14
14	102	1
2	102	5
147	102	7
1398	103	18
2396	103	7
66	103	2
176	104	3
77	104	12
306	104	1
93	104	8
1919	105	3
1199	105	19
2958	105	10
3574	105	7
331	105	9
3578	105	20
410	105	12
518	105	16
530	105	16
24	105	16
3061	105	12
128	105	17
1783	105	8
330	105	12
11	105	12
228	105	17
31	105	14
106	105	11
2178	105	7
57	105	8
204	105	7
1087	105	20
2214	105	17
496	105	14
1307	105	17
180	105	8
1739	105	3
690	105	6
87	105	11
127	105	10
179	105	5
350	105	1
548	105	5
119	105	18
733	105	20
306	105	2
192	105	15
317	105	3
239	105	9
1047	105	8
203	105	8
79	105	4
1287	105	12
96	105	6
50	105	17
84	105	19
212	105	16
777	105	1
1127	105	20
563	105	7
21	105	19
102	105	7
139	105	19
161	105	2
2	105	16
176	105	9
391	105	1
147	105	6
14	105	2
19	105	7
25	105	15
331	106	19
140	106	1
105	106	1
139	106	17
1106	106	17
306	106	14
7	106	15
339	106	7
15	106	12
14	106	3
5	106	4
16	106	10
66	106	19
1398	107	12
173	107	9
292	108	20
2396	109	3
111	109	13
175	109	17
31	109	2
512	109	7
177	109	5
79	110	20
3956	111	16
1986	111	20
598	111	20
31	111	12
109	111	3
177	111	12
144	112	1
326	113	16
205	113	4
1257	114	14
518	115	16
66	115	10
3504	116	9
832	116	17
1062	116	9
1131	116	11
1136	116	14
2884	117	4
952	117	2
240	117	11
147	117	13
1988	117	3
149	117	13
1183	119	14
2705	119	19
1666	119	15
1396	119	8
1198	119	17
1015	119	1
761	119	4
1515	119	17
2416	119	11
1709	119	4
31	119	16
147	119	19
105	119	4
77	119	10
306	119	7
3956	121	13
1986	121	16
3615	121	10
2086	123	6
1986	123	10
128	123	17
1114	123	10
179	123	14
175	123	14
1719	123	13
563	123	7
755	126	18
155	126	1
78	126	11
582	127	4
3774	127	18
654	127	6
1889	127	11
3061	127	7
139	127	1
192	127	16
2214	127	8
2221	127	7
436	127	14
1892	127	9
1739	127	2
442	127	17
79	127	6
326	127	15
19	127	14
1287	127	14
105	127	18
77	127	9
96	127	1
1398	127	2
50	127	11
212	127	1
306	127	2
147	127	14
179	128	17
488	128	8
563	128	1
1087	128	10
123	128	9
150	128	14
598	129	9
87	130	1
104	130	11
306	130	11
16	130	17
66	130	5
96	130	7
326	131	13
496	131	4
2187	131	1
1465	131	19
841	131	7
102	131	11
263	131	9
1739	131	5
77	131	5
272	131	10
563	131	2
96	131	16
364	132	6
684	132	12
3407	135	5
2407	135	5
212	139	16
3579	139	1
2066	139	9
2600	139	3
3023	139	17
1047	139	7
1919	139	18
628	139	17
556	139	11
515	139	5
2858	139	6
154	139	10
204	139	6
2396	139	10
1407	139	2
3061	139	14
127	139	19
330	139	10
2069	139	12
582	139	6
384	139	9
2034	139	13
1971	139	19
273	139	20
518	139	18
1247	139	7
1307	139	16
326	139	8
53	139	2
2214	139	9
947	139	6
436	139	3
84	139	18
1465	139	7
272	139	19
173	139	5
224	139	20
263	139	9
1739	139	3
830	139	20
1398	139	8
220	139	17
79	139	9
391	139	16
50	139	11
317	139	20
777	139	9
306	139	2
105	139	12
350	139	6
96	139	20
58	139	2
77	139	17
104	139	5
11	139	1
147	139	9
14	139	19
239	139	2
147	140	20
2825	144	19
701	144	12
2156	144	7
391	144	20
370	145	11
62	145	10
98	145	20
496	145	4
192	145	2
1648	147	6
2958	147	3
860	147	6
2416	147	12
1895	147	12
1848	147	17
3051	147	18
140	147	15
3057	147	14
3061	147	18
514	147	20
1085	147	8
11	147	12
501	147	20
3574	147	2
2667	147	9
3579	147	17
537	147	7
2662	147	10
2066	147	13
2600	147	8
841	147	20
411	147	4
648	147	5
628	147	17
917	147	4
2481	147	12
1535	147	15
2032	147	20
1431	147	17
947	147	3
236	147	2
1988	147	14
638	147	11
2077	147	9
1645	147	9
232	147	3
180	147	19
392	147	20
1500	147	10
1342	147	15
284	147	3
1246	147	8
1039	147	9
1354	147	12
2858	147	10
437	147	1
2859	147	5
171	147	4
627	147	13
690	147	5
2689	147	20
305	147	3
582	147	6
1892	147	10
1407	147	16
117	147	16
2323	147	6
469	147	20
557	147	12
2457	147	2
371	147	5
416	147	1
2396	147	3
2044	147	19
1971	147	8
1707	147	16
479	147	17
237	147	20
1471	147	4
2270	147	13
1211	147	18
1683	147	2
991	147	3
2069	147	14
492	147	16
177	147	1
2262	147	12
2214	147	9
1919	147	3
658	147	18
461	147	7
719	147	14
1048	147	20
353	147	14
496	147	10
538	147	13
154	147	3
515	147	15
1521	147	2
174	147	17
2065	147	4
395	147	7
30	147	8
249	147	1
829	147	1
1889	147	18
53	147	7
1326	147	3
2034	147	19
1415	147	4
2050	147	2
476	147	8
799	147	8
384	147	10
1952	147	1
1729	147	10
1739	147	8
1539	147	4
801	147	12
1517	147	13
830	147	6
1827	147	7
285	147	19
364	147	20
1734	147	7
1136	147	20
428	147	15
472	147	19
19	147	6
326	147	12
1172	147	6
1566	147	13
1247	147	17
877	147	16
1522	147	5
1287	147	19
1560	147	10
375	147	3
1615	147	18
1199	147	8
93	147	12
1398	147	17
330	147	9
1162	147	1
781	147	18
63	147	17
263	147	7
772	147	19
1307	147	10
442	147	11
1465	147	7
931	147	7
239	147	18
230	147	14
240	147	13
228	147	11
296	147	3
466	147	14
173	147	13
832	147	19
36	147	17
1047	147	12
220	147	15
391	147	4
216	147	1
212	147	9
350	147	9
50	147	18
777	147	17
518	147	5
507	147	14
272	147	11
17	147	7
59	147	15
436	147	5
96	147	13
127	147	20
104	147	15
58	147	3
456	147	9
376	147	16
31	147	12
105	147	18
25	147	6
97	147	19
306	147	3
119	147	5
139	147	1
176	147	13
208	147	9
317	147	9
79	147	12
57	147	1
14	147	1
77	147	14
21	147	8
2884	149	8
117	149	14
240	149	1
147	150	13
1666	150	2
306	150	13
594	150	7
1810	150	1
1046	150	12
841	150	20
496	150	4
1990	150	11
1722	150	7
92	150	18
98	150	19
1555	150	12
128	150	13
196	150	9
219	151	19
463	151	4
1984	151	12
1995	151	13
139	151	4
572	153	8
1247	153	7
841	154	11
139	154	7
384	154	16
204	154	17
330	154	12
1522	154	15
1398	154	13
77	154	19
1136	154	13
147	154	20
1492	154	2
126	155	9
78	155	20
306	156	19
1047	156	18
173	156	6
245	156	9
176	156	8
323	157	11
236	157	6
2411	157	17
305	157	16
240	157	11
2439	158	2
723	159	20
1546	159	4
2434	160	3
33	160	6
391	161	20
1106	161	2
212	161	8
377	161	20
947	161	7
105	161	14
176	161	13
331	161	14
2	161	15
306	161	18
3430	163	14
2909	163	10
835	163	18
3350	164	3
2597	164	13
371	168	7
331	168	9
306	168	3
171	168	5
2932	170	6
84	171	2
777	171	18
147	171	9
307	171	13
168	171	19
183	172	11
364	173	9
11	173	6
16	173	10
1203	173	6
3731	173	18
214	173	4
3670	173	2
2600	173	13
830	173	12
1085	173	15
1175	173	20
176	173	3
77	173	8
139	173	8
1247	173	7
30	173	10
1739	173	13
272	173	20
538	173	9
79	173	13
1707	173	19
54	173	15
306	173	19
14	173	5
296	173	14
1047	173	7
239	173	5
350	173	16
436	173	4
156	173	10
1398	173	17
1199	173	15
96	173	20
42	173	3
147	173	6
1990	174	20
147	174	19
109	175	7
1087	175	11
123	175	6
755	176	10
3612	176	2
3731	176	20
306	176	2
84	176	2
436	176	3
1047	176	12
1560	176	1
263	176	3
326	176	10
492	176	8
54	176	11
1398	176	6
96	176	15
104	176	20
777	176	5
50	176	10
48	176	3
317	176	3
16	176	5
161	176	17
57	176	17
14	176	6
77	176	9
147	176	9
2389	177	5
3956	177	5
1970	177	2
1986	177	15
1323	177	6
469	177	3
598	177	15
147	177	9
1398	177	1
306	177	17
31	177	10
111	177	19
391	177	3
326	177	10
109	177	17
1599	178	12
2086	179	16
3956	179	18
2187	179	2
306	179	19
1719	179	10
496	179	20
128	179	14
24	179	6
123	179	2
105	179	5
563	179	12
1707	180	1
196	180	10
350	180	18
1615	180	15
496	180	17
436	180	9
2270	180	18
212	180	10
84	180	17
105	180	3
317	180	5
1287	180	7
1739	180	11
79	180	17
306	180	1
173	180	3
272	180	4
801	180	10
632	184	2
772	187	10
1794	188	6
2317	188	18
2074	188	18
565	188	2
1643	188	14
1545	188	7
852	188	8
3324	188	4
1795	188	12
2209	188	14
3104	188	16
733	188	15
1096	188	14
2430	188	14
1081	188	2
812	188	3
2216	188	8
77	189	16
306	189	8
940	191	18
539	191	3
391	191	9
1173	192	17
147	192	17
841	192	3
2189	192	6
628	192	12
2384	192	2
272	192	19
31	192	11
326	192	15
410	192	12
303	192	9
375	192	4
11	192	10
362	192	4
1526	192	16
96	192	15
892	192	13
496	192	10
145	192	2
2034	192	3
79	192	7
92	192	18
13	192	10
563	192	6
102	192	9
105	192	14
239	192	14
507	192	20
98	192	7
15	194	5
180	196	5
518	196	17
563	196	15
548	196	6
306	196	3
496	196	5
92	196	20
150	196	12
1049	198	13
3285	202	17
2002	202	15
3731	202	1
2132	202	14
1075	202	9
3774	203	20
1407	203	7
3061	203	14
306	203	18
2396	203	16
139	203	2
228	203	19
50	203	6
2034	203	18
102	203	1
781	203	18
1119	203	6
317	203	14
21	203	6
1047	203	2
496	203	16
16	203	17
9	203	16
1307	203	2
1739	203	13
77	203	4
239	203	6
410	203	1
53	203	11
224	203	5
272	203	1
173	203	14
79	203	14
105	203	20
212	203	3
96	203	14
84	203	5
1	203	2
2	203	10
1092	203	17
3579	204	13
3578	204	10
3574	204	19
2759	204	11
3061	204	18
2384	204	19
84	204	8
11	204	8
2815	204	15
690	204	13
330	204	14
2396	204	6
1971	204	18
1047	204	6
154	204	9
2069	204	2
34	204	16
582	204	14
21	204	19
2178	204	4
496	204	2
1892	204	18
442	204	5
2086	204	6
102	204	15
2034	204	16
105	204	11
272	204	6
2	204	10
14	204	19
